Date,CO,CO2,Methane,NitrousOx,CFC11
2005-06-01,95.03,382.4,1779.98,319.66,250.24
2005-07-01,82.63,380.94,1771.31,319.8,250.05
2005-08-01,74.46,378.79,1766.52,319.96,249.96
2005-09-01,83.34,376.96,1787.18,319.83,249.88
2005-10-01,93,377.22,1806.18,319.91,249.76
2005-11-01,95.85,378.83,1803.18,319.92,249.7
2005-12-01,102.47,380.27,1798.24,320.16,249.62
2008-01-01,105.65,385.76,1809.49,321.94,244.98
2008-02-01,110.85,385.94,1803.08,321.9,244.72
2008-05-01,97.55,388.93,1796.1,322.01,244.17
2008-06-01,84.89,388.69,1791.24,322.09,244.34
2008-07-01,72.08,386.88,1782.4,322.25,243.71
2008-08-01,63.85,384.47,1779.46,322.29,243.64
2008-09-01,70.57,383,1794.49,322.39,243.74
2008-10-01,77.87,383.12,1813.71,322.63,244.41
2008-11-01,78.88,384.34,1811.95,322.63,243.88
2008-12-01,84.14,385.88,1812.26,322.67,244.11
2009-01-01,95.57,387.2,1816.2,322.75,243.81
2009-02-01,104.62,387.95,1814.83,322.68,244.09
2009-03-01,106.59,388.63,1815.15,322.62,242.75
2009-04-01,102.55,389.55,1807.03,322.75,242.56
2009-05-01,94.7,390.34,1802.81,322.88,242.41
2009-06-01,83.07,389.75,1806.17,322.89,242.25
2009-07-01,70.49,387.92,1794.26,322.84,242.31
2009-08-01,70.29,386.05,1788.13,322.95,242.89
2009-09-01,77.02,384.64,1801.78,323.07,242.98
2009-10-01,79.13,384.79,1811.56,323.12,242.32
2009-11-01,83.76,386.19,1814.73,323.21,242.27
2009-12-01,90.21,387.71,1815.42,323.35,242.44
2010-01-01,90.06,388.79,1810.96,323.48,242.39
2010-02-01,97.45,389.91,1817.99,323.37,242.34
2010-03-01,115.56,391.27,1821.11,323.47,241.56
2010-04-01,121.51,392.79,1818,323.58,241.23
2010-05-01,105.02,393.57,1816.6,323.67,240.96
2010-06-01,85.71,392.45,1803.01,323.77,240.6
2010-07-01,72.31,390.27,1793.51,323.75,240.26
2010-08-01,70.99,388.17,1800.66,323.85,240.22
2010-09-01,78.06,386.74,1810.48,323.93,240.13
2010-10-01,85.47,387.39,1826.38,324.2,240.07
2010-11-01,87.94,388.74,1830.6,324.32,239.88
2010-12-01,89.64,390.23,1821.07,324.46,239.56
2011-01-01,91.27,391.74,1823.77,324.43,239.34
2011-02-01,92.77,392.32,1819.81,324.51,239
2011-03-01,96.21,392.82,1815.35,324.57,238.88
2011-04-01,95.99,393.88,1815.98,324.58,238.52
2011-05-01,88.84,394.46,1811.63,324.57,238.4
2011-06-01,81.14,393.99,1810.18,324.59,238.32
2011-07-01,71.86,392.54,1803.09,324.71,238.14
2011-08-01,68.27,390.15,1799.96,324.85,237.84
2011-09-01,74.47,388.78,1813,324.93,237.79
2011-10-01,77.73,389.33,1823.87,325.08,237.75
2011-11-01,80.27,390.64,1827.51,325.1,237.49
2011-12-01,90.51,392.34,1831.69,325.2,237.54
2012-01-01,93.88,393.18,1827.62,325.39,237.44
2012-02-01,90.85,393.42,1819.36,325.5,237.26
2012-03-01,100.31,394.82,1823.95,325.33,236.82
2012-04-01,108.18,396.73,1834.9,325.47,236.62
2012-05-01,93.95,397.16,1829.66,325.42,236.42
2012-06-01,71.73,396.04,1813.95,325.39,236.08
2012-07-01,63.86,394.46,1803.92,325.45,235.84
2012-08-01,68.02,392.41,1804.03,325.57,235.81
2012-09-01,74.1,391.05,1815.71,325.72,235.91
2012-10-01,80,391.31,1828.97,325.95,236.21
2012-11-01,89.12,393.26,1836.51,325.94,235.89
2012-12-01,92.49,394.84,1836.12,326.05,236.29
2013-01-01,150.11,515.56,1889.63,437.39,319.26
2013-01-02,160.09,515.57,1894.01,456.78,319.52
2013-01-03,145.4,510.29,1897.48,400.55,330.34
2013-01-04,22.2,267,1886.16,200.88,150.21
2013-01-05,33.3,266.33,188.61,200.99,130.27
2016-01-01,102.8,402.95,1858.3,329.07,231.15
2016-02-01,106.88,403.86,1858.44,329.04,230.98
2016-03-01,114.13,405.46,1864.46,329.1,230.76
2016-04-01,117.13,407.58,1873.35,329.22,230.8
2016-05-01,104.48,408.12,1870.82,329.29,230.62
2016-06-01,84.34,406.82,1855.65,329.32,230.54
2016-07-01,67.56,404.6,1835.75,329.46,230.3
2016-08-01,66.26,401.91,1840.75,329.67,230.28
2016-09-01,75.87,400.44,1863.09,329.7,230.45
2016-10-01,82.43,401.69,1876.26,329.95,230.53
2016-11-01,84.05,403.74,1874.36,330.04,230.56
2016-12-01,86.89,404.9,1864.76,329.99,230.54
2017-01-01,89.41,405.79,1870.55,330.18,230.64
2017-02-01,91.18,406.51,1869.4,330.17,229.9
2017-03-01,97.61,407.57,1862.68,330.29,229.87
2017-04-01,101,409.22,1867.98,330.2,230.24
2017-05-01,92.51,410,1869.56,330.29,230.03
2017-06-01,77.25,408.94,1856.66,330.32,229.88
2017-07-01,65.83,407.18,1839.54,330.36,229.93
2017-08-01,64.15,405.09,1839.52,330.74,230.1
2017-09-01,73.32,403.32,1862.67,330.76,230.43
2017-10-01,83.4,403.66,1882.75,330.91,230.45
2017-11-01,86.65,405.46,1885.27,331.01,230.44
2017-12-01,88.45,406.9,1879.4,331.16,230.39
2018-01-01,91.21,408.1,1876.51,331.14,230.15
2018-02-01,93.08,408.83,1875.41,331.22,229.81
2018-03-01,92.83,409.57,1871.19,331.05,229.52
2018-04-01,89.49,411.03,1869.5,331.61,229.38
2018-05-01,83.48,411.71,1866.08,331.61,229.35
2018-06-01,73.76,410.72,1857.48,331.63,229.37
2018-07-01,66.01,409.28,1854.08,331.61,229.07
2018-08-01,66.11,407.29,1854.58,331.73,228.8
2018-09-01,71.56,405.71,1864.11,331.78,229
2018-10-01,78.12,406.33,1884.6,331.88,229.21
2018-11-01,85.58,408.23,1895.15,331.99,229.27
2018-12-01,92.61,409.46,1889.63,331.97,229.06
2019-01-01,100.41,410.77,1894.01,331.83,229.02
2019-02-01,107.54,411.84,1897.48,331.93,228.56
2019-03-01,108.9,412.24,1886.16,332,228.42
2019-04-01,105.2,413.46,1884.65,332,228.1
2019-05-01,97.02,414.98,1885.81,332,227.7
2019-06-01,82.51,414.3,1870.25,332.58,227.18
2019-07-01,70.75,411.92,1859.48,332.64,226.94
2019-08-01,69.26,409.75,1861.08,332.75,226.79
2019-09-01,75.27,408.74,1872.01,332.87,226.8
2019-10-01,77.83,408.93,1885.52,332.97,226.86
2019-11-01,81.42,410.29,1894.09,333.23,226.76
2019-12-01,92.17,411.99,1900.12,333.29,226.55
